,FarmID,GreenLeavesNum_carrots,Plant_ID,cote_c_carotae,SampleDate,incidence_a_dauci,incidence_s_sclerotiorum,carrot_stage
0,0,5,1,0,202,0,0,0
1,0,5,2,0,202,0,0,0
2,0,5,3,0,202,0,0,0
3,0,5,4,0,202,0,0,0
4,0,5,5,0,202,0,0,0
5,0,5,6,0,202,0,0,0
6,0,5,7,0,202,0,0,0
7,0,5,8,0,202,0,0,0
8,0,5,9,0,202,0,0,0
9,0,5,10,0,202,0,0,0
10,0,5,11,0,202,0,0,0
11,0,5,12,0,202,0,0,0
12,0,5,13,0,202,0,0,0
13,0,5,14,0,202,0,0,0
14,0,5,15,0,202,0,0,0
15,0,5,16,0,202,0,0,0
16,0,5,17,0,202,0,0,0
17,0,5,18,0,202,0,0,0
18,0,5,19,0,202,0,0,0
19,0,5,20,0,202,0,0,0
20,0,5,21,0,202,0,0,0
21,0,5,22,0,202,0,0,0
22,0,5,23,0,202,0,0,0
23,0,5,24,0,202,0,0,0
24,0,5,25,0,202,0,0,0
520,2,4,1,0,202,0,0,0
521,2,4,2,0,202,0,0,0
522,2,4,3,0,202,0,0,0
523,2,4,4,0,202,0,0,0
524,2,4,5,0,202,0,0,0
525,2,4,6,0,202,0,0,0
526,2,4,7,0,202,0,0,0
527,2,4,8,0,202,0,0,0
528,2,4,9,1,202,0,0,0
529,2,4,10,0,202,0,0,0
530,2,4,11,0,202,0,0,0
531,2,4,12,0,202,0,0,0
532,2,4,13,0,202,0,0,0
533,2,4,14,0,202,0,0,0
534,2,4,15,0,202,0,0,0
535,2,4,16,0,202,0,0,0
536,2,4,17,0,202,0,0,0
537,2,4,18,0,202,0,0,0
538,2,4,19,0,202,0,0,0
539,2,4,20,0,202,0,0,0
540,2,4,21,0,202,0,0,0
541,2,4,22,0,202,0,0,0
542,2,4,23,0,202,0,0,0
543,2,4,24,0,202,0,0,0
544,2,4,25,0,202,0,0,0
271,1,6,1,0,204,0,0,1
272,1,6,2,0,204,0,0,1
273,1,6,3,0,204,0,0,1
274,1,6,4,0,204,0,0,1
275,1,6,5,0,204,0,0,1
276,1,6,6,0,204,0,0,1
277,1,6,7,0,204,0,0,1
278,1,6,8,0,204,0,0,1
279,1,6,9,0,204,0,0,1
280,1,6,10,0,204,0,0,1
281,1,6,11,0,204,0,0,1
282,1,6,12,0,204,0,0,1
283,1,6,13,0,204,0,0,1
284,1,6,14,0,204,0,0,1
285,1,6,15,0,204,0,0,1
286,1,6,16,0,204,0,0,1
287,1,6,17,0,204,0,0,1
288,1,6,18,0,204,0,0,1
289,1,6,19,0,204,0,0,1
290,1,6,20,0,204,0,0,1
291,1,6,21,0,204,0,0,1
292,1,6,22,0,204,0,0,1
293,1,6,23,0,204,0,0,1
294,1,6,24,0,204,0,0,1
295,1,6,25,0,204,0,0,1
545,2,0,1,0,207,0,0,1
546,2,0,2,0,207,0,0,1
547,2,0,3,0,207,0,0,1
548,2,0,4,0,207,0,0,1
549,2,0,5,0,207,0,0,1
550,2,0,6,0,207,0,0,1
551,2,0,7,0,207,0,0,1
552,2,0,8,0,207,0,0,1
553,2,0,9,0,207,0,0,1
554,2,0,10,0,207,0,0,1
555,2,0,11,0,207,0,0,1
556,2,0,12,0,207,0,0,1
557,2,0,13,0,207,0,0,1
558,2,0,14,0,207,0,0,1
559,2,0,15,0,207,0,0,1
560,2,0,16,1,207,0,0,1
561,2,0,17,0,207,0,0,1
562,2,0,18,0,207,0,0,1
563,2,0,19,0,207,0,0,1
564,2,0,20,0,207,0,0,1
565,2,0,21,0,207,0,0,1
566,2,0,22,0,207,0,0,1
567,2,0,23,0,207,0,0,1
568,2,0,24,0,207,0,0,1
569,2,0,25,0,207,0,0,1
25,0,5,1,0,209,0,0,0
26,0,5,2,0,209,0,0,0
27,0,5,3,0,209,0,0,0
28,0,5,4,0,209,0,0,0
29,0,5,5,0,209,0,0,0
30,0,5,6,0,209,0,0,0
31,0,5,7,0,209,0,0,0
32,0,5,8,0,209,0,0,0
33,0,5,9,0,209,0,0,0
34,0,5,10,0,209,0,0,0
35,0,5,11,0,209,0,0,0
36,0,5,12,0,209,0,0,0
37,0,5,13,0,209,0,0,0
38,0,5,14,0,209,0,0,0
39,0,5,15,0,209,0,0,0
40,0,5,16,0,209,0,0,0
41,0,5,17,0,209,0,0,0
42,0,5,18,0,209,0,0,0
43,0,5,19,0,209,0,0,0
44,0,5,20,0,209,0,0,0
45,0,5,21,0,209,0,0,0
46,0,5,22,0,209,0,0,0
47,0,5,23,0,209,0,0,0
48,0,5,24,0,209,0,0,0
49,0,5,25,0,209,0,0,0
296,1,6,1,0,209,0,0,2
297,1,6,2,0,209,0,0,2
298,1,6,3,1,209,0,0,2
299,1,6,4,1,209,0,0,2
300,1,6,5,0,209,0,0,2
301,1,6,6,1,209,0,0,2
302,1,6,7,1,209,0,0,2
303,1,6,8,0,209,0,0,2
304,1,6,9,0,209,0,0,2
305,1,6,10,0,209,0,0,2
306,1,6,11,1,209,0,0,2
307,1,6,12,0,209,0,0,2
308,1,6,13,0,209,0,0,2
309,1,6,14,1,209,0,0,2
310,1,6,15,0,209,0,0,2
311,1,6,16,1,209,0,0,2
312,1,6,17,0,209,0,0,2
313,1,6,18,0,209,0,0,2
314,1,6,19,1,209,0,0,2
315,1,6,20,0,209,0,0,2
316,1,6,21,1,209,0,0,2
317,1,6,22,0,209,0,0,2
318,1,6,23,1,209,0,0,2
319,1,6,24,0,209,0,0,2
320,1,6,25,0,209,0,0,2
570,2,6,1,1,214,0,0,2
571,2,6,2,1,214,0,0,2
572,2,6,3,1,214,0,0,2
573,2,6,4,1,214,0,0,2
574,2,6,5,1,214,0,0,2
575,2,6,6,0,214,0,0,2
576,2,6,7,1,214,0,0,2
577,2,6,8,1,214,0,0,2
578,2,6,9,0,214,0,0,2
579,2,6,10,1,214,0,0,2
580,2,6,11,1,214,0,0,2
581,2,6,12,1,214,0,0,2
582,2,6,13,1,214,0,0,2
583,2,6,14,1,214,0,0,2
584,2,6,15,1,214,0,0,2
