,FarmID,LivingLeavesNum_onions,DeadLeavesNum_onions,FeuillageCouche_onions,Plant_ID,cote_b_squamosa,SampleDate,Bulb_onions_date,cote_p_destructor,cote_s_vesicarium
0,0,5,0,0,1,0,166,196,0.0,0.0
1,0,5,0,0,2,1,166,196,0.0,0.0
2,0,5,0,0,3,0,166,196,0.0,0.0
3,0,5,0,0,4,1,166,196,0.0,0.0
4,0,5,0,0,5,0,166,196,0.0,0.0
5,0,5,0,0,6,0,166,196,0.0,0.0
6,0,5,0,0,7,0,166,196,0.0,0.0
7,0,5,0,0,8,0,166,196,0.0,0.0
8,0,5,0,0,9,0,166,196,0.0,0.0
9,0,5,0,0,10,0,166,196,0.0,0.0
10,0,5,0,0,11,1,166,196,0.0,0.0
11,0,5,0,0,12,0,166,196,0.0,0.0
12,0,5,0,0,13,0,166,196,0.0,0.0
13,0,5,0,0,14,0,166,196,0.0,0.0
14,0,5,0,0,15,0,166,196,0.0,0.0
15,0,5,0,0,16,0,166,196,0.0,0.0
16,0,5,0,0,17,0,166,196,0.0,0.0
17,0,5,0,0,18,0,166,196,0.0,0.0
18,0,5,0,0,19,0,166,196,0.0,0.0
19,0,5,0,0,20,0,166,196,0.0,0.0
20,0,5,0,0,21,0,166,196,0.0,0.0
21,0,5,0,0,22,0,166,196,0.0,0.0
22,0,5,0,0,23,0,166,196,0.0,0.0
23,0,5,0,0,24,0,166,196,0.0,0.0
24,0,5,0,0,25,0,166,196,0.0,0.0
200,2,4,0,0,1,0,166,195,0.0,0.0
201,2,4,0,0,2,0,166,195,0.0,0.0
202,2,4,0,0,3,0,166,195,0.0,0.0
203,2,4,0,0,4,0,166,195,0.0,0.0
204,2,4,0,0,5,0,166,195,0.0,0.0
205,2,4,0,0,6,0,166,195,0.0,0.0
206,2,4,0,0,7,0,166,195,0.0,0.0
207,2,4,0,0,8,0,166,195,0.0,0.0
208,2,4,0,0,9,0,166,195,0.0,0.0
209,2,4,0,0,10,0,166,195,0.0,0.0
210,2,4,0,0,11,0,166,195,0.0,0.0
211,2,4,0,0,12,0,166,195,0.0,0.0
212,2,4,0,0,13,0,166,195,0.0,0.0
213,2,4,0,0,14,0,166,195,0.0,0.0
214,2,4,0,0,15,0,166,195,0.0,0.0
215,2,4,0,0,16,0,166,195,0.0,0.0
216,2,4,0,0,17,0,166,195,0.0,0.0
217,2,4,0,0,18,0,166,195,0.0,0.0
218,2,4,0,0,19,0,166,195,0.0,0.0
219,2,4,0,0,20,0,166,195,0.0,0.0
220,2,4,0,0,21,0,166,195,0.0,0.0
221,2,4,0,0,22,0,166,195,0.0,0.0
222,2,4,0,0,23,0,166,195,0.0,0.0
223,2,4,0,0,24,0,166,195,0.0,0.0
224,2,4,0,0,25,0,166,195,0.0,0.0
647,4,5,1,0,1,0,167,181,0.0,0.0
648,4,5,1,0,2,0,167,181,0.0,0.0
649,4,5,1,0,3,0,167,181,0.0,0.0
650,4,5,1,0,4,0,167,181,0.0,0.0
651,4,5,1,0,5,0,167,181,0.0,0.0
652,4,5,1,0,6,0,167,181,0.0,0.0
653,4,5,1,0,7,0,167,181,0.0,0.0
654,4,5,1,0,8,0,167,181,0.0,0.0
655,4,5,1,0,9,0,167,181,0.0,0.0
656,4,5,1,0,10,0,167,181,0.0,0.0
657,4,5,1,0,11,0,167,181,0.0,0.0
658,4,5,1,0,12,0,167,181,0.0,0.0
659,4,5,1,0,13,0,167,181,0.0,0.0
660,4,5,1,0,14,0,167,181,0.0,0.0
661,4,5,1,0,15,0,167,181,0.0,0.0
662,4,5,1,0,16,0,167,181,0.0,0.0
663,4,5,1,0,17,0,167,181,0.0,0.0
664,4,5,1,0,18,0,167,181,0.0,0.0
665,4,5,1,0,19,0,167,181,0.0,0.0
666,4,5,1,0,20,0,167,181,0.0,0.0
667,4,5,1,0,21,0,167,181,0.0,0.0
668,4,5,1,0,22,0,167,181,0.0,0.0
669,4,5,1,0,23,0,167,181,0.0,0.0
670,4,5,1,0,24,0,167,181,0.0,0.0
671,4,5,1,0,25,0,167,181,0.0,0.0
400,1,4,0,0,1,0,169,195,0.0,0.0
401,1,4,0,0,2,0,169,195,0.0,0.0
402,1,4,0,0,3,0,169,195,0.0,0.0
403,1,4,0,0,4,0,169,195,0.0,0.0
404,1,4,0,0,5,0,169,195,0.0,0.0
405,1,4,0,0,6,0,169,195,0.0,0.0
406,1,4,0,0,7,0,169,195,0.0,0.0
407,1,4,0,0,8,0,169,195,0.0,0.0
408,1,4,0,0,9,0,169,195,0.0,0.0
409,1,4,0,0,10,0,169,195,0.0,0.0
410,1,4,0,0,11,0,169,195,0.0,0.0
411,1,4,0,0,12,0,169,195,0.0,0.0
412,1,4,0,0,13,0,169,195,0.0,0.0
413,1,4,0,0,14,0,169,195,0.0,0.0
414,1,4,0,0,15,0,169,195,0.0,0.0
415,1,4,0,0,16,0,169,195,0.0,0.0
416,1,4,0,0,17,0,169,195,0.0,0.0
417,1,4,0,0,18,0,169,195,0.0,0.0
418,1,4,0,0,19,0,169,195,0.0,0.0
